岗位id,城市,公司全名,公司缩写,福利待遇,工作地点,学历要求,工作类型,发布时间,职位名称,薪资,工作年限,公司类型,公司规模,公司阶段
6026390,北京,京东数字科技控股有限公司,京东数字科技,"['供应链金融', '消费金融', '众筹业务', '支付业务']",大兴区,本科,产品|需求|项目类,1天前发布,数据分析师,20k-35k,3-5年,金融,2000人以上,上市公司
6312695,北京,秒针信息技术有限公司,明略科技集团,"['六险一金', '年底双薪', '绩效奖金', '完成E轮融资']",朝阳区,本科,产品|需求|项目类,3天前发布,数据分析产品经理,25k-35k,3-5年,"数据服务,广告营销",2000人以上,D轮及以上
6213758,北京,四川誉铭佳信会计服务有限公司,誉铭佳信,"['年终分红', '带薪年假', '年底双薪', '股票期权']",海淀区,本科,开发|测试|运维类,3天前发布,数据分析专家,30k-50k,5-10年,电商,500-2000人,不需要融资
6199399,广州,普华永道中天会计师事务所（特殊普通合伙）北京分所,PWC,"['带薪年假', '定期体检', '管理规范']",天河区,本科,开发|测试|运维类,2019/9/3,数据分析高级顾问 - GZ/SZ,15k-20k,3-5年,金融,2000人以上,不需要融资
5887116,北京,京东数字科技控股有限公司,京东数字科技,"['供应链金融', '消费金融', '众筹业务', '支付业务']",大兴区,本科,开发|测试|运维类,1天前发布,用户增长数据分析,20k-40k,5-10年,金融,2000人以上,上市公司
6176225,上海,瑞安管理（上海）有限公司,瑞安房地产,[],黄浦区,本科,产品|需求|项目类,2019/9/4,数据分析经理,25k-35k,5-10年,其他,500-2000人,上市公司
6147879,广州,广州赛泽科技有限公司,赛泽科技,[],天河区,本科,产品|需求|项目类,2019/8/29,数据分析师,12k-20k,应届毕业生,游戏,50-150人,未融资
5718841,东莞,东莞圣幸健康科技有限公司,东莞圣幸,[],东莞市市辖区,大专,产品|需求|项目类,2019/8/28,数据分析,5k-8k,1-3年,电商,50-150人,不需要融资
6316739,广州,广州骏伯网络科技有限公司,骏伯网络,[],天河区,本科,市场|商务类,09:57发布,高级数据分析师,15k-20k,3-5年,移动互联网,150-500人,上市公司
6360042,北京,北京佳格天地科技有限公司,佳格天地,"['股票期权', '领导好', '交通补助', '弹性工作']",海淀区,本科,开发|测试|运维类,1天前发布,数据分析实习生,3k-4k,应届毕业生,数据服务,50-150人,A轮
6382918,深圳,深圳市环球易购电子商务有限公司,环球易购,"['节日礼物', '股票期权', '带薪年假', '绩效奖金']",南山区,本科,产品|需求|项目类,2019/9/12,数据分析岗（2020届校园招聘）,4k-7k,应届毕业生,电商,2000人以上,上市公司
6287443,青岛,青岛隆顺数据服务有限公司,隆顺数据,[],市北区,大专,开发|测试|运维类,2019/9/8,数据分析实习,6k-8k,不限,"数据服务,人工智能",50-150人,未融资
6202733,深圳,沃尔玛（中国）投资有限公司,Walmart China,[],福田区,硕士,产品|需求|项目类,2019/8/20,高级数据分析经理-沃尔玛电商,20k-30k,5-10年,"电商,其他",2000人以上,上市公司
6246228,广州,广州荔支网络技术有限公司,荔枝,"['绩效奖金', '专项奖金', '带薪年假', '弹性工作']",天河区,不限,开发|测试|运维类,10:32发布,高级财务数据分析师,20k-35k,3-5年,社交,500-2000人,D轮及以上
6089110,上海,平安健康互联网股份有限公司上海分公司,平安健康互联网,"['技能培训', '节日礼物', '带薪年假', '定期体检']",徐汇区,本科,开发|测试|运维类,00:00发布,数据分析工程师,20k-28k,3-5年,医疗丨健康,2000人以上,上市公司
6378329,深圳,上海微创软件股份有限公司,微创软件,"['绩效奖金', '年底双薪', '带薪年假', '定期体检']",南山区,大专,运营|编辑|客服类,2天前发布,游戏数据分析专员,5k-8k,1-3年,企业服务,2000人以上,不需要融资
6349694,杭州,云集共享科技有限公司,云集,"['绩效奖金', '股票期权', '五险一金', '午餐补助']",萧山区,硕士,开发|测试|运维类,3天前发布,数据分析师【2020届校招】G00880,10k-15k,应届毕业生,电商,500-2000人,上市公司
6199295,广州,广州麦锐电子科技有限公司,麦锐电子,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",越秀区,大专,产品|需求|项目类,2019/9/12,数据分析,4k-6k,1-3年,电商,15-50人,未融资
6137156,深圳,深圳市珍爱网信息技术有限公司,珍爱网,"['发展上升型', '朝阳行业', '创业氛围浓厚', '年终分红']",南山区,本科,产品|需求|项目类,2019/9/11,数据分析师（2020珍爱秋季校园招聘）,15k-25k,应届毕业生,"社交,消费生活",2000人以上,不需要融资
6259813,北京,北京凤凰理理它信息技术有限公司,凤凰金融,"['节日礼物', '技能培训', '股票期权', '带薪年假']",朝阳区,本科,开发|测试|运维类,2019/9/9,风险数据分析师（海外资产）,20k-30k,3-5年,金融,500-2000人,A轮
3559976,上海,无锡英臻科技有限公司,英臻科技,"['绩效奖金', '年底双薪', '五险一金', '带薪年假']",长宁区,本科,产品|需求|项目类,2019/8/26,数据分析实习生,3k-5k,不限,硬件,50-150人,A轮
6396560,上海,上海拍拍贷金融信息服务有限公司,拍拍贷,"['绩效奖金', '五险一金', '带薪年假', '午餐补助']",浦东新区,本科,开发|测试|运维类,09:08发布,2020校招-数据分析师（π.X）,12k-18k,应届毕业生,金融,2000人以上,上市公司
6065696,北京,北京黄豆伟业电子商务发展有限公司,黄豆伟业,"['年底双薪', '股票期权', '绩效奖金', '带薪年假']",朝阳区,本科,运营|编辑|客服类,2019/9/2,数据分析专员（业务方向）,10k-15k,3-5年,电商,150-500人,不需要融资
6350978,广州,广州迈玻克企业管理咨询有限公司,迈玻克,[],海珠区,本科,产品|需求|项目类,2019/8/30,数据分析师,15k-25k,不限,企业服务,50-150人,未融资
4898279,北京,北京共致开源信息科技有限公司,共致开源,"['节日礼物', '技能培训', '绩效奖金', '定期体检']",海淀区,本科,开发|测试|运维类,10:29发布,数据分析工程师实习生,4k-8k,应届毕业生,"企业服务,数据服务",50-150人,不需要融资
5820143,广州,上海游民网络科技有限公司广州分公司,3K游戏,"['绩效奖金', '免费包餐', '海外旅游', '环境舒适']",天河区,本科,产品|需求|项目类,09:06发布,高级游戏数据分析师,15k-30k,不限,游戏,150-500人,上市公司
6353708,北京,三角兽（北京）科技有限公司,三角兽科技,"['五险一金', '股票期权', '定期体检', '大牛领导好']",朝阳区,硕士,开发|测试|运维类,3天前发布,数据分析实习,5k-7k,应届毕业生,移动互联网,150-500人,B轮
6353708,北京,三角兽（北京）科技有限公司,三角兽科技,"['五险一金', '股票期权', '定期体检', '大牛领导好']",朝阳区,硕士,开发|测试|运维类,3天前发布,数据分析实习,5k-7k,应届毕业生,移动互联网,150-500人,B轮
5875094,北京,北京越铖国际科技有限公司,越铖国际,[],丰台区,大专,金融类,1天前发布,数据分析师,6k-12k,不限,金融,50-150人,未融资
5459728,北京,北京海博思创科技有限公司,HyperStrong,"['技能培训', '节日礼物', '免费班车', '带薪年假']",海淀区,本科,产品|需求|项目类,3天前发布,数据分析工程师,15k-20k,不限,"企业服务,消费生活",150-500人,B轮
6194489,深圳,华为终端（东莞）有限公司,华为消费者业务,[],龙岗区,本科,产品|需求|项目类,2019/9/5,数据分析,6k-10k,1-3年,通讯电子,2000人以上,不需要融资
5722805,广州,广州市博汇数码科技有限公司,BW,"['技能培训', '开发', '岗位晋升', '年度旅游']",天河区,本科,产品|需求|项目类,14:34发布,数据分析实习生岗位,2k-3k,应届毕业生,"企业服务,数据服务",15-50人,未融资
4842134,深圳,风变科技（深圳）有限公司,风变科技（深圳）有限公司,"['专项奖金', '带薪年假', '定期体检', '六险一金']",南山区,硕士,开发|测试|运维类,1天前发布,实习岗-数据分析,4k-8k,不限,教育,150-500人,A轮
6124352,深圳,深圳市长亮科技股份有限公司,长亮科技,"['五险一金', '通讯津贴', '带薪年假', '定期体检']",南山区,本科,开发|测试|运维类,2019/9/9,银行数据分析岗位,10k-20k,不限,企业服务,2000人以上,上市公司
5667919,上海,武汉亿泽工程咨询有限公司,亿泽ETBI,[],闵行区,不限,产品|需求|项目类,2019/9/8,数据分析,6k-12k,不限,"数据服务,企业服务",50-150人,不需要融资
2723079,上海,杭州拓端数据科技有限公司,拓端数据,['数据服务'],宝山区,本科,产品|需求|项目类,2019/9/8,数据分析师,8K-12K,1-3年,"数据服务,电商",少于15人,未融资
6384364,上海,穗子科技（上海）有限公司,穗子科技,[],普陀区,不限,产品|需求|项目类,2019/9/7,数据分析师,10k-15k,3-5年,"企业服务,数据服务",少于15人,天使轮
5768927,上海,深圳市波思代尔贸易有限公司,波思代尔,[],浦东新区,硕士,产品|需求|项目类,2019/9/6,数据分析师,5k-10k,不限,"广告营销,文娱丨内容",15-50人,未融资
6231918,北京,指尖视野（北京）科技有限公司,指尖视野,[],朝阳区,硕士,产品|需求|项目类,2天前发布,数据分析师leader,30k-50k,5-10年,"广告营销,企业服务",少于15人,不需要融资
4151990,北京,北京泛钛客科技有限公司,泛钛客,"['带薪年假', '年底双薪', '定期体检', '午餐补助']",朝阳区,本科,开发|测试|运维类,3天前发布,大数据分析师（实习）,3k-5k,应届毕业生,"金融,数据服务",150-500人,A轮
6399212,广州,广州天行者网络技术服务有限公司,广州天行者网络技术服务有限公司,"['带薪年假', '年度旅游', '节日礼物', '帅哥多']",海珠区,本科,产品|需求|项目类,2019/9/11,数据分析师,18k-23k,3-5年,"企业服务,区块链",15-50人,天使轮
6374127,成都,四川名人居门窗有限公司,名人居,"['定期体检', '年度旅游', '节日礼物', '技能培训']",武侯区,大专,开发|测试|运维类,2019/9/5,大数据分析师,10k-15k,1-3年,消费生活,500-2000人,未融资
6370378,北京,亚信科技（中国）有限公司,亚信,"['年底双薪', '技能培训', '免费班车', '带薪年假']",西城区,硕士,产品|需求|项目类,2019/9/4,数据分析师,8k-16k,应届毕业生,企业服务,2000人以上,上市公司
6376605,上海,叽里呱啦文化传播（上海）有限公司,叽里呱啦,"['年底双薪', '带薪年假', '出国旅游', '没有996']",普陀区,本科,市场|商务类,09:35发布,2020校招-数据分析师,10k-15k,应届毕业生,教育,150-500人,B轮
5239101,南京,南京嘉量信息科技有限公司,南京嘉量信息,"['带薪年假', '午餐补助', '交通补助', '定期体检']",秦淮区,本科,开发|测试|运维类,2019/9/10,数据分析,4k-6k,不限,"医疗丨健康,数据服务",50-150人,未融资
6273371,北京,京东数字科技控股有限公司,京东数字科技,"['供应链金融', '消费金融', '众筹业务', '支付业务']",大兴区,大专,产品|需求|项目类,2019/9/8,数据分析师,25k-45k,1-3年,金融,2000人以上,上市公司
6111396,北京,南京欧思其软件服务有限公司,欧思其,[],朝阳区,本科,产品|需求|项目类,2019/8/28,数据分析师,15k-25k,5-10年,"企业服务,汽车丨出行",150-500人,不需要融资
6401137,北京,光合新知（北京）科技有限公司,洋葱数学,"['产品领先行业', '关注学习本源', '明星跨界团队', '股票期权']",朝阳区,本科,产品|需求|项目类,2019/9/12,数据分析实习生,3k-5k,应届毕业生,教育,500-2000人,D轮及以上
6321566,郑州,麒麟合盛网络技术股份有限公司,APUS-独角兽,[],郑东新区,本科,产品|需求|项目类,2019/9/10,数据分析师,5k-10k,不限,移动互联网,150-500人,不需要融资
6218759,南京,南京基食信息技术有限公司,指食针,[],江宁区,本科,产品|需求|项目类,2019/8/30,数据分析师,8k-12k,1-3年,数据服务,15-50人,天使轮
4995546,北京,北京趣拿软件科技有限公司,去哪儿网,"['技能培训', '节日礼物', '带薪年假', '试用期全薪']",海淀区,本科,产品|需求|项目类,2天前发布,数据分析实习生,4k-5k,应届毕业生,旅游,2000人以上,不需要融资
6341437,上海,上海同道信息技术有限公司,上海同道,"['专项奖金', '扁平管理', '午餐补助', '绩效奖金']",徐汇区,本科,开发|测试|运维类,2019/9/10,大数据分析师,15k-25k,3-5年,企业服务,50-150人,不需要融资
5827380,上海,中怡保险经纪有限责任公司,中怡保险,[],浦东新区,本科,开发|测试|运维类,2019/8/28,数据分析师,10k-20k,1-3年,金融,500-2000人,不需要融资
5523749,广州,上海益玩网络科技有限公司广州分公司,益玩游戏,"['年底双薪', '节日礼物', '技能培训', '年度旅游']",天河区,大专,产品|需求|项目类,1天前发布,游戏数据分析专员,10k-20k,1-3年,游戏,150-500人,B轮
6378787,广州,广州骏伯网络科技有限公司,骏伯网络,[],天河区,本科,市场|商务类,3天前发布,高级数据分析师,15k-20k,3-5年,移动互联网,150-500人,上市公司
6373753,北京,北京智慧星光信息技术有限公司,智慧星光,"['五险一金', '带薪年假', '生日聚会', '团队旅游']",海淀区,本科,市场|商务类,13:42发布,商务数据分析专员,7k-12k,不限,数据服务,500-2000人,不需要融资
6215263,上海,上海科技发展有限公司,上海科发,[],徐汇区,硕士,产品|需求|项目类,2019/9/5,数据分析,3k-4k,应届毕业生,数据服务,50-150人,不需要融资
6310387,杭州,杭州览众数据科技有限公司,览众数据,"['技能培训', '股票期权', '带薪年假', '绩效奖金']",滨江区,本科,产品|需求|项目类,13:42发布,业务与数据分析师,9k-15k,应届毕业生,"人工智能,数据服务",150-500人,B轮
5973830,上海,云鹊医疗科技（上海）有限公司,云鹊医疗,"['年底双薪', '股票期权', '带薪年假', '领导好']",浦东新区,不限,产品|需求|项目类,09:26发布,数据分析实习,3k-4k,应届毕业生,医疗丨健康,150-500人,不需要融资
4835899,深圳,腾讯科技（深圳）有限公司,腾讯,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",南山区,本科,开发|测试|运维类,2019/9/4,数据分析平台开发工程师（Python）,20k-40k,3-5年,社交,2000人以上,上市公司
6326988,北京,京东数字科技控股有限公司,京东数字科技,"['供应链金融', '消费金融', '众筹业务', '支付业务']",大兴区,本科,产品|需求|项目类,2019/8/29,数据分析师,15k-30k,5-10年,金融,2000人以上,上市公司
5940903,长春,吉林华翰教育信息化服务有限公司,华翰教育信息化,[],朝阳区,本科,产品|需求|项目类,2天前发布,产品经理-数据分析方向,5k-10k,应届毕业生,教育,50-150人,A轮
6244679,北京,瑞庭网络技术（上海）有限公司,安居客,"['年底双薪', '绩效奖金', '带薪年假', '五险一金']",朝阳区,本科,金融类,2019/9/2,风险数据分析师,18k-25k,1-3年,移动互联网,500-2000人,上市公司
5695691,上海,广州华多网络科技有限公司,欢聚时代（YY Inc）,"['技能培训', '节日礼物', '无息贷款', '绩效奖金']",黄浦区,本科,金融类,2019/8/28,风险数据分析师 (MJ001721),15k-30k,3-5年,文娱丨内容,2000人以上,上市公司
5926613,北京,北京云杉世界信息技术有限公司,美菜网,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']",朝阳区,本科,产品|需求|项目类,3天前发布,数据分析经理,15k-25k,1-3年,电商,2000人以上,D轮及以上
5469285,上海,赛仕软件（北京）有限公司上海分公司,SAS,[],徐汇区,硕士,产品|需求|项目类,3天前发布,数据分析师,10k-16k,应届毕业生,"企业服务,数据服务",2000人以上,不需要融资
6291347,广州,广州哆啦科技有限公司,Fordeal,"['六险一金', '不打卡', '姨妈假', '扁平管理']",海珠区,本科,开发|测试|运维类,2019/9/9,【2020届秋招】数据分析师,8k-15k,应届毕业生,电商,2000人以上,C轮
6279668,上海,北京四季沐歌太阳能技术集团有限公司,四季沐歌集团,[],徐汇区,本科,开发|测试|运维类,2019/9/15,E011 数据分析师,20k-30k,3-5年,其他,500-2000人,上市公司
6252753,北京,京东数字科技控股有限公司,京东数字科技控股有限公司,[],大兴区,本科,产品|需求|项目类,2019/9/10,数据分析师,20k-40k,3-5年,金融,2000人以上,B轮
6244724,上海,瑞庭网络技术（上海）有限公司,安居客,"['年底双薪', '绩效奖金', '带薪年假', '五险一金']",浦东新区,本科,金融类,2019/9/2,风险数据分析师,18k-25k,1-3年,移动互联网,500-2000人,上市公司
6396869,北京,北京金山云网络技术有限公司,金山云,"['技能培训', '节日礼物', '瑜伽房', '免费班车']",海淀区,本科,运营|编辑|客服类,14:15发布,运营实习生-数据分析/流程方向,4k-5k,应届毕业生,数据服务,500-2000人,D轮及以上
6249668,上海,上海爱奇尔贸易有限公司,爱奇尔,"['年底双薪', '绩效奖金', '交通补助', '通讯津贴']",普陀区,本科,产品|需求|项目类,3天前发布,数据分析师,8k-12k,1-3年,电商,50-150人,不需要融资
5315574,北京,北京乐纯悠品食品科技有限公司,乐纯酸奶,"['七险一金', '免费午晚餐', '电影票、奶票', '扁平管理']",朝阳区,本科,开发|测试|运维类,3天前发布,BI数据分析师,15k-30k,3-5年,消费生活,150-500人,D轮及以上
6202101,北京,嘉实基金管理有限公司,嘉实基金,"['五险一金', '带薪年假', '定期体检', '扁平管理']",东城区,本科,开发|测试|运维类,1天前发布,Data Lab-金融数据分析师,15k-25k,1-3年,"游戏,金融",500-2000人,不需要融资
6222045,上海,携程计算机技术（上海）有限公司,携程,"['绩效奖金', '股票期权', '五险一金', '交通补助']",长宁区,本科,产品|需求|项目类,2019/9/9,产品数据分析师,10k-15k,1-3年,旅游,2000人以上,上市公司
6335464,北京,北京轻松筹网络科技有限公司,轻松筹,"['节日礼物', '股票期权', '扁平管理', '领导好']",东城区,本科,产品|需求|项目类,3天前发布,数据分析 (MJ000419),10k-18k,1年以下,金融,500-2000人,C轮
5821736,广州,拉扎斯网络科技（上海）有限公司,饿了么,"['节日礼物', '绩效奖金', '年度旅游', '岗位晋升']",天河区,本科,开发|测试|运维类,10:55发布,业务BI分析专家,20k-35k,5-10年,消费生活,2000人以上,D轮及以上
6255877,武汉,北京大米未来科技有限公司,VIPKID,"['绩效奖金', '股票期权', '五险一金', '带薪年假']",洪山区,本科,产品|需求|项目类,2019/8/28,数据分析师（武汉）,15k-25k,3-5年,教育,2000人以上,D轮及以上
4979044,北京,北京大米未来科技有限公司,VIPKID,"['绩效奖金', '股票期权', '五险一金', '带薪年假']",朝阳区,本科,产品|需求|项目类,2019/8/28,数据分析师,15k-30k,3-5年,教育,2000人以上,D轮及以上
5742867,深圳,深圳萨摩耶互联网金融服务有限公司,萨摩耶金服,"['技能培训', '年度旅游', '岗位晋升', '五险一金']",南山区,不限,产品|需求|项目类,1天前发布,风险模型分析师,10k-20k,1-3年,金融,150-500人,C轮
6263240,北京,北京云杉世界信息技术有限公司,美菜网,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']",朝阳区,硕士,产品|需求|项目类,2019/9/9,数据分析师,10k-20k,3-5年,电商,2000人以上,D轮及以上
5469285,上海,赛仕软件（北京）有限公司上海分公司,SAS,[],徐汇区,硕士,产品|需求|项目类,3天前发布,数据分析师,10k-16k,应届毕业生,"企业服务,数据服务",2000人以上,不需要融资
6226806,北京,车好多旧机动车经纪（北京）有限公司,车好多集团,"['带薪年假', '弹性工作', '免费班车', '五险一金']",朝阳区,本科,运营|编辑|客服类,2019/8/30,业务数据分析专家,20k-40k,5-10年,消费生活,2000人以上,D轮及以上
5296199,北京,华壹信融投资管理（北京）有限责任公司,华壹信融,[],朝阳区,本科,金融类,3天前发布,数据分析师/助理,6k-8k,不限,金融,150-500人,未融资
6301104,杭州,浙江畅唐网络股份有限公司,畅唐网络,"['技能培训', '免息贷款', '岗位晋升', '扁平管理']",滨江区,本科,产品|需求|项目类,2019/9/11,校招岗位：数据分析师,10k-13k,应届毕业生,游戏,500-2000人,不需要融资
6124352,深圳,深圳市长亮科技股份有限公司,长亮科技,"['五险一金', '通讯津贴', '带薪年假', '定期体检']",南山区,本科,开发|测试|运维类,2019/9/9,银行数据分析岗位,10k-20k,不限,企业服务,2000人以上,上市公司
5728913,北京,上海阅文信息技术有限公司,阅文集团,"['年终分红', '年底双薪', '五险一金', '交通补助']",朝阳区,本科,开发|测试|运维类,2019/8/26,商业/数据分析师、数据产品经理,15k-30k,3-5年,文娱丨内容,500-2000人,上市公司
5902196,深圳,深圳深镜数据有限公司,Deep Lens Fund,[],南山区,本科,产品|需求|项目类,2019/8/29,数据分析师,15k-30k,3-5年,"金融,数据服务",少于15人,未融资
5851508,厦门,厦门侠网旅游服务有限公司,侠侣亲子游,"['年底双薪', '定期体检', '带薪年假', '年度旅游']",思明区,大专,开发|测试|运维类,2019/8/28,数据开发/数据分析,6k-12k,1-3年,"电商,旅游",150-500人,不需要融资
5057865,深圳,深圳大数易智慧科技有限公司,BDS大数易,"['年底双薪', '股票期权', '绩效奖金', '专项奖金']",福田区,本科,开发|测试|运维类,2019/8/26,数据分析师,10k-16k,3-5年,人工智能,少于15人,天使轮
5754370,北京,北京新锦成科技有限公司,新锦成,[],海淀区,本科,产品|需求|项目类,2019/9/11,数据分析实习,4k-6k,应届毕业生,教育,150-500人,A轮
6358706,北京,北京联想软件有限公司,联想研创新设备用户体验设计,[],海淀区,本科,产品|需求|项目类,2019/9/2,数据分析实习,2k-4k,不限,硬件,2000人以上,不需要融资
6064958,珠海,珠海长隆投资发展有限公司,珠海长隆,[],香洲区,本科,产品|需求|项目类,08:55发布,数据分析实习生,3k-4k,应届毕业生,旅游,2000人以上,未融资
5319386,深圳,深圳美莱医疗美容医院,深圳美莱医疗美容医院,[],福田区,本科,运营|编辑|客服类,2019/8/30,数据分析经理（运营经理）,5k-9k,1-3年,"医疗丨健康,其他",500-2000人,不需要融资
6149773,北京,北京小米科技有限责任公司,小米,"['快速成长', '免费班车', '扁平管理', '技能培训']",海淀区,本科,开发|测试|运维类,2019/8/28,小米贷款高级数据分析师---产品团队,25k-49k,5-10年,硬件,2000人以上,D轮及以上
6224483,成都,成都联客信息技术有限公司,联客信息,"['节日礼物', '年底双薪', '带薪年假', '绩效奖金']",锦江区,本科,产品|需求|项目类,2019/8/20,数据分析师,7k-10k,3-5年,电商,15-50人,不需要融资
6410336,深圳,深圳市创梦天地科技有限公司,乐逗游戏,"['绩效奖金', '五险一金', '带薪年假', '节日礼物']",南山区,本科,产品|需求|项目类,2天前发布,高级游戏数据分析师,16k-32k,3-5年,游戏,500-2000人,上市公司
5449124,北京,北京天衍融信科技有限公司,天衍融信,[],海淀区,本科,产品|需求|项目类,2019/9/6,数据分析师,20k-35k,1-3年,数据服务,15-50人,未融资
5818123,北京,北京麟客科技有限公司,麟客科技(LinkInCloud),"['专项奖金', '股票期权', '绩效奖金', '年终分红']",东城区,不限,产品|需求|项目类,2019/9/5,数据分析师,13k-25k,3-5年,"企业服务,人工智能",少于15人,天使轮
6246925,北京,北京贵士信息科技有限公司,QuestMobile,"['你想的都有', '弹性工作', '帅哥多', '美女多']",朝阳区,本科,产品|需求|项目类,11:01发布,数据分析实习,2k-4k,应届毕业生,数据服务,50-150人,不需要融资
6245507,武汉,湖南潭州教育网络科技有限公司武汉分公司,潭州教育,[],洪山区,不限,产品|需求|项目类,2019/9/7,数据分析专员,4k-6k,不限,教育,2000人以上,B轮
6346768,上海,北京数字一百信息技术有限公司,数字100,[],普陀区,本科,产品|需求|项目类,2019/9/9,数据分析实习,2k-4k,应届毕业生,企业服务,150-500人,不需要融资
4431155,长春,北京视达科技有限公司,视达科技,[],二道区,大专,开发|测试|运维类,2019/9/5,数据分析-长春驻地,5k-8k,1-3年,"数据服务,消费生活",15-50人,不需要融资
6317017,广州,广州乐娱动漫科技有限公司,乐娱动漫,[],天河区,本科,开发|测试|运维类,2019/8/22,数据分析/用户分析经理,15k-25k,不限,"文娱丨内容,社交",50-150人,B轮
6334271,北京,探探科技（北京）有限公司,探探,"['股票期权', '带薪年假', '岗位晋升', '扁平管理']",朝阳区,本科,开发|测试|运维类,13:54发布,数据分析实习生,3k-5k,应届毕业生,社交,150-500人,D轮及以上
6089854,上海,网易（杭州）网络有限公司,网易,"['节日礼物', '技能培训', '免费班车', '带薪年假']",徐汇区,本科,开发|测试|运维类,09:27发布,高级游戏数据分析师,15k-20k,不限,电商,2000人以上,上市公司
6404652,杭州,杭州蓝享网络科技有限公司,蓝享网络科技,"['扁平管理', '技能培训', '领导好', '岗位晋升']",滨江区,大专,综合职能|高级管理,2019/9/15,助理/文员/数据分析员,4k-8k,应届毕业生,电商,50-150人,未融资
6155383,南京,孩子王儿童用品股份有限公司,孩子王,"['节日礼物', '技能培训', '年度旅游', '岗位晋升']",江宁区,本科,产品|需求|项目类,2019/9/11,数据分析实习生,1k-2k,应届毕业生,消费生活,2000人以上,C轮
5636818,北京,力拓乐狮（北京）文化传媒有限公司,Leos',"['五险一金', '带薪年假', '绩效奖金', '午餐补助']",朝阳区,本科,产品|需求|项目类,2019/8/27,数据分析师,8k-12k,1-3年,广告营销,15-50人,不需要融资
6315582,上海,上海宽睿信息科技有限责任公司,宽睿,"['专项奖金', '股票期权', '带薪年假', '扁平管理']",浦东新区,硕士,开发|测试|运维类,2019/9/12,高级数据分析师,13k-20k,3-5年,"企业服务,金融",少于15人,天使轮
6367330,沈阳,北京天易数聚科技有限公司,天易数聚,[],浑南区,本科,开发|测试|运维类,2019/9/3,数据分析咨询顾问,10k-15k,3-5年,数据服务,150-500人,未融资
4268227,上海,上海艾大软件有限公司,艾大,[],长宁区,硕士,开发|测试|运维类,2019/9/2,数据分析师,8k-16k,应届毕业生,"企业服务,数据服务",15-50人,未融资
6403911,北京,微梦创科网络科技（中国）有限公司,微博,"['年底双薪', '专项奖金', '股票期权', '五险一金']",海淀区,本科,开发|测试|运维类,2019/9/14,数据分析实习,3k-4k,应届毕业生,文娱丨内容,2000人以上,上市公司
5658601,深圳,北京京东世纪贸易有限公司,京东集团,"['五险一金', '带薪年假', '免费班车', '定期体检']",宝安区,本科,产品|需求|项目类,2019/9/12,高级数据分析师,18k-30k,5-10年,电商,2000人以上,上市公司
5747652,北京,北京快快网络技术有限公司,真融宝,"['员工福利丰富', '高薪期权', '热门行业', '免费工作餐']",海淀区,本科,金融类,1天前发布,校招-数据分析实习生,3k-5k,应届毕业生,金融,150-500人,B轮
6062080,北京,北京艾漫数据科技股份有限公司,艾漫数据,[],朝阳区,本科,开发|测试|运维类,2019/9/5,数据分析实习生,3k-4k,应届毕业生,文娱丨内容,50-150人,上市公司
6020862,北京,北京联行网络科技有限公司,北京联行科技,"['绩效奖金', '带薪年假', '通讯津贴', '午餐补助']",丰台区,硕士,开发|测试|运维类,2019/9/4,数据分析实习生,4k-6k,应届毕业生,消费生活,150-500人,未融资
6312702,东莞,东莞宜步汽车服务有限公司,宜步汽车,"['五险一金', '岗位晋升', '绩效奖金', '股票期权']",东莞市市辖区,本科,产品|需求|项目类,2019/8/21,高级数据分析师,10k-20k,5-10年,移动互联网,150-500人,A轮
6357225,北京,北京三快在线科技有限公司,美团点评,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",朝阳区,本科,开发|测试|运维类,10:03发布,信息安全中心-风险数据分析专家,35k-50k,5-10年,消费生活,2000人以上,上市公司
5249903,北京,天合泽泰（厦门）征信服务有限公司,泽泰征信,"['带薪年假', '专项奖金', '交通补助', '技能培训']",朝阳区,本科,开发|测试|运维类,1天前发布,遥感数据分析工程师,13k-25k,3-5年,"企业服务,数据服务",15-50人,A轮
6178107,广州,广州贝斯特教育科技有限公司,贝斯特教育,[],海珠区,本科,产品|需求|项目类,3天前发布,数据分析主管,10k-15k,1-3年,教育,150-500人,不需要融资
6120400,北京,网宿科技股份有限公司北京分公司,网宿科技,"['年底双薪', '五险一金', '交通补助', '带薪年假']",海淀区,本科,开发|测试|运维类,2019/9/2,安全数据分析师,15k-25k,不限,移动互联网,2000人以上,上市公司
6200048,广州,广州棒谷科技股份有限公司,广州棒谷科技股份有限公司,"['项目奖金', '绩效奖金', '年终奖', '五险一金']",白云区,本科,产品|需求|项目类,2019/8/26,HR管培生-数据分析,5k-9k,应届毕业生,电商,2000人以上,不需要融资
6391647,上海,百姓网股份有限公司,百姓网,"['节日礼物', '带薪年假', '租房津贴', '妹纸美']",闵行区,本科,运营|编辑|客服类,2天前发布,数据分析实习生,3k-4k,应届毕业生,移动互联网,500-2000人,上市公司
5963175,北京,上海艾瑞市场咨询股份有限公司,艾瑞集团,"['年底双薪', '绩效奖金', '通讯津贴', '带薪年假']",朝阳区,硕士,开发|测试|运维类,2019/8/22,数据分析实习生,2k-3k,不限,"数据服务,企业服务",150-500人,不需要融资
